,Quarter,Time,Tm,Detail,OAK,LAC
0,1.0,11:08,Chargers,Caleb Sturgis 49 yard field goal,0,3
1,2.0,13:23,Raiders,Matthew McCrane 24 yard field goal,3,3
2,2.0,4:04,Chargers,Austin Ekeler 44 yard pass from Philip Rivers (Caleb Sturgis kick),3,10
3,2.0,1:39,Chargers,Melvin Gordon 1 yard rush (Caleb Sturgis kick),3,17
4,3.0,6:05,Chargers,Caleb Sturgis 30 yard field goal,3,20
5,4.0,9:42,Chargers,Virgil Green 13 yard pass from Philip Rivers (Caleb Sturgis kick failed),3,26
6,4.0,5:11,Raiders,Jordy Nelson 1 yard pass from Derek Carr (Matthew McCrane kick),10,26
