,Quarter,Time,Tm,Detail,CLE,BAL
0,2.0,10:29,Ravens,Justin Tucker 25 yard field goal,0,3
1,2.0,6:30,Browns,Seth Devalve 25 yard pass from Cody Kessler (Cody Parkey kick),7,3
2,2.0,0:00,Ravens,Justin Tucker 40 yard field goal,7,6
3,3.0,9:36,Ravens,Darren Waller 4 yard pass from Joe Flacco (Justin Tucker kick),7,13
4,3.0,2:05,Ravens,Steve Smith 11 yard pass from Joe Flacco (Kyle Juszczyk pass from Joe Flacco),7,21
5,4.0,6:21,Ravens,Breshad Perriman 27 yard pass from Joe Flacco (Justin Tucker kick),7,28
