,Quarter,Time,Tm,Detail,CAR,MIN
0,1.0,2:03,Panthers,Steve Smith 2 yard pass from Cam Newton (Graham Gano kick),7,0
1,2.0,3:43,Panthers,Mike Tolbert 10 yard pass from Cam Newton (Graham Gano kick),14,0
2,2.0,0:14,Vikings,Blair Walsh 22 yard field goal,14,3
3,3.0,13:56,Panthers,Brandon LaFell 79 yard pass from Cam Newton (Graham Gano kick),21,3
4,3.0,6:10,Panthers,Cam Newton 7 yard rush (Graham Gano kick),28,3
5,4.0,7:40,Panthers,Mike Tolbert 1 yard rush (Graham Gano kick),35,3
6,4.0,1:00,Vikings,Kyle Rudolph 23 yard pass from Matt Cassel (Blair Walsh kick),35,10
