,Quarter,Tm,Detail,GNB,MIN
0,1.0,Packers,Max McGee 22 yard pass from Bart Starr (Paul Hornung kick),7,0
1,1.0,Vikings,Bill Brown 63 yard pass from Fran Tarkenton (Fred Cox kick),7,7
2,2.0,Packers,Jim Taylor 35 yard pass from Bart Starr (Paul Hornung kick),14,7
3,2.0,Packers,Jim Taylor 10 yard pass from Bart Starr (Paul Hornung kick),21,7
4,2.0,Packers,Tom Moore 26 yard rush (Paul Hornung kick),28,7
5,2.0,Vikings,Fred Cox 16 yard field goal,28,10
6,3.0,Vikings,Fred Cox 43 yard field goal,28,13
7,4.0,Packers,Max McGee 45 yard pass from Bart Starr (Paul Hornung kick),35,13
8,4.0,Packers,Jim Taylor 1 yard rush (Paul Hornung kick),42,13
