,Quarter,Tm,Detail,IND,BUF
0,1.0,Bills,Thurman Thomas 8 yard pass from Jim Kelly (Scott Norwood kick),0,7
1,1.0,Bills,Scott Norwood 42 yard field goal,0,10
2,1.0,Bills,Scott Norwood 40 yard field goal,0,13
3,2.0,Bills,Andre Reed 32 yard pass from Jim Kelly (Scott Norwood kick),0,20
4,2.0,Bills,Andre Reed 3 yard pass from Jim Kelly (Scott Norwood kick),0,27
5,4.0,Bills,Scott Norwood 32 yard field goal,0,30
6,4.0,Colts,Randy Dixon offensive fumble recovery in end zone (Dean Biasucci kick),7,30
