,Quarter,Time,Tm,Detail,WAS,DAL
0,1.0,11:09,Cowboys,Ezekiel Elliott 4 yard rush (Dan Bailey kick),0,7
1,2.0,14:04,Redskins,Dustin Hopkins 24 yard field goal,3,7
2,2.0,7:57,Cowboys,Dan Bailey 46 yard field goal,3,10
3,2.0,1:45,Cowboys,Terrance Williams 10 yard pass from Dak Prescott (Dan Bailey kick),3,17
4,2.0,0:03,Redskins,Dustin Hopkins 20 yard field goal,6,17
5,4.0,14:54,Redskins,Jordan Reed 5 yard pass from Kirk Cousins (pass failed),12,17
6,4.0,10:49,Cowboys,Dak Prescott 6 yard rush (Dan Bailey kick),12,24
7,4.0,9:22,Redskins,DeSean Jackson 67 yard pass from Kirk Cousins (Dustin Hopkins kick),19,24
8,4.0,6:29,Cowboys,Ezekiel Elliott 1 yard rush (Dan Bailey kick),19,31
9,4.0,1:53,Redskins,Jordan Reed 8 yard pass from Kirk Cousins (Dustin Hopkins kick),26,31
