,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Dolphins,Dan Johnson 2 yard pass from Dan Marino (Fuad Reveiz kick),0,7
1,1.0,Dolphins,Troy Stradford 1 yard rush (Fuad Reveiz kick),0,14
2,2.0,Dolphins,Troy Stradford 1 yard rush,0,20
3,2.0,Dolphins,Troy Stradford 1 yard rush (Fuad Reveiz kick),0,27
4,3.0,Jets,Al Toon 44 yard pass from Ken O'Brien (Pat Leahy kick),7,27
5,3.0,Dolphins,Fuad Reveiz 18 yard field goal,7,30
6,3.0,Jets,Pat Ryan 8 yard rush (Pat Leahy kick),14,30
7,4.0,Jets,Johnny Hector 14 yard rush (Pat Leahy kick),21,30
8,4.0,Dolphins,Dan Marino 5 yard rush (Fuad Reveiz kick),21,37
9,4.0,Jets,Bobby Humphery 46 yard defensive fumble return (Pat Leahy kick),28,37
