,Quarter,Time,Tm,Detail,TAM,WAS
0,1.0,,Buccaneers,Dave Moore 8 yard pass from Trent Dilfer (Michael Husted kick),7,0
1,1.0,,Redskins,Leslie Shepherd 16 yard rush (Cary Blanchard kick),7,7
2,2.0,,Buccaneers,Michael Husted 20 yard field goal,10,7
3,2.0,,Buccaneers,Michael Husted 42 yard field goal,13,7
4,3.0,,Buccaneers,Michael Husted 24 yard field goal,16,7
5,4.0,,Redskins,Cary Blanchard 26 yard field goal,16,10
6,4.0,,Redskins,Cary Blanchard 35 yard field goal,16,13
7,4.0,6:06,Redskins,Stephen Alexander 15 yard pass from Trent Green (Cary Blanchard kick),16,20
