,Quarter,Tm,Detail,RAI,CIN
0,1.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),7,0
1,2.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),14,0
2,2.0,Raiders,Chris Bahr 38 yard field goal,17,0
3,3.0,Bengals,Jim Breech 36 yard field goal,17,3
4,4.0,Raiders,Chris Bahr 39 yard field goal,20,3
5,4.0,Bengals,M.L. Harris 9 yard pass from Ken Anderson (Jim Breech kick),20,10
