,Quarter,Tm,Detail,WAS,DEN
0,1.0,Redskins,Ricky Sanders 10 yard pass from Jay Schroeder,6,0
1,2.0,Redskins,George Rogers 15 yard rush (Max Zendejas kick),13,0
2,2.0,Broncos,John Elway 11 yard rush (Rich Karlis kick),13,7
3,3.0,Broncos,Sammy Winder 6 yard rush (Rich Karlis kick),13,14
4,3.0,Broncos,Steve Watson 19 yard pass from John Elway (Rich Karlis kick),13,21
5,4.0,Redskins,Steve Cox 48 yard field goal,16,21
6,4.0,Broncos,Sammy Winder 1 yard rush (Rich Karlis kick),16,28
7,4.0,Redskins,Art Monk 55 yard pass from Jay Schroeder (Max Zendejas kick),23,28
8,4.0,Broncos,Rich Karlis 32 yard field goal,23,31
9,4.0,Redskins,George Rogers 1 yard rush (Max Zendejas kick),30,31
