,Quarter,Tm,Detail,CRD,GNB
0,1,Packers,Cully Lidberg 2 yard rush (Pid Purdy kick),0,7
1,2,Cardinals,Mickey MacDonnell unknown yard pass from Red Dunn (Red Dunn kick),7,7
2,3,Cardinals,Red Dunn 20 yard field goal,10,7
3,4,Cardinals,Red Dunn unknown yard field goal,13,7
