,Quarter,Tm,Detail,MIN,DET
0,1.0,Vikings,Gordie Smith 13 yard pass from Fran Tarkenton (Jim Christopherson kick),7,0
1,1.0,Lions,Milt Plum 22 yard field goal,7,3
2,1.0,Lions,Dick LeBeau 26 yard defensive fumble return (Wayne Walker kick),7,10
3,1.0,Vikings,Ed Sharockman 88 yard defensive fumble return (Jim Christopherson kick),14,10
4,2.0,Lions,Dan Lewis 20 yard pass from Milt Plum (Wayne Walker kick),14,17
5,2.0,Lions,Gail Cogdill 11 yard pass from Milt Plum (Wayne Walker kick),14,24
6,3.0,Lions,Gail Cogdill 7 yard offensive fumble return (Wayne Walker kick),14,31
7,3.0,Lions,Dick LeBeau 31 yard interception return (run failed),14,37
8,4.0,Vikings,"Safety, Webb tackled in end zone by Leo",16,37
9,4.0,Vikings,Mel Triplett 3 yard rush (Jim Christopherson kick),23,37
