,Quarter,Tm,Detail,WAS,NYG
0,1.0,Giants,Pete Gogolak 32 yard field goal,0,3
1,1.0,Redskins,Gerry Allen 1 yard rush (Charlie Gogolak kick),7,3
2,2.0,Giants,Bobby Duhon 2 yard rush (Pete Gogolak kick),7,10
3,2.0,Giants,Homer Jones 82 yard pass from Fran Tarkenton (Pete Gogolak kick),7,17
4,2.0,Giants,Fran Tarkenton 4 yard rush (Pete Gogolak kick),7,24
5,2.0,Redskins,Jerry Smith 2 yard pass from Sonny Jurgensen (Charlie Gogolak kick),14,24
6,3.0,Giants,Pete Gogolak 43 yard field goal,14,27
7,3.0,Giants,Homer Jones 56 yard pass from Fran Tarkenton (Pete Gogolak kick),14,34
8,3.0,Giants,Ronnie Blye 1 yard rush (Pete Gogolak kick),14,41
9,4.0,Giants,Spider Lockhart 47 yard interception return (Pete Gogolak kick),14,48
10,4.0,Redskins,Pat Richter 3 yard pass from Sonny Jurgensen (Charlie Gogolak kick),21,48
