,Quarter,Tm,Detail,GNB,CRD
0,1,Cardinals,Paddy Driscoll unknown yard field goal,0,3
1,2,Packers,Charlie Mathys unknown yard field goal,3,3
2,3,Cardinals,Arnie Horween 5 yard rush (Paddy Driscoll kick),3,10
3,4,Cardinals,Arnie Horween unknown yard rush,3,16
