,Quarter,Time,Tm,Detail,CIN,SEA
0,1,,Seahawks,Tracy Johnson 1 yard rush (John Kasay kick),0,7
1,1,,Bengals,"Safety, A. Williams sacked Mirer in end zone",2,7
2,1,,Bengals,Doug Pelfrey 36 yard field goal,5,7
3,2,,Bengals,Doug Pelfrey 44 yard field goal,8,7
4,3,,Bengals,Doug Pelfrey 36 yard field goal,11,7
5,3,,Seahawks,John Kasay 23 yard field goal,11,10
6,4,,Bengals,Doug Pelfrey 47 yard field goal,14,10
7,4,,Seahawks,Steve Smith 1 yard rush (John Kasay kick),14,17
8,4,,Bengals,Doug Pelfrey 28 yard field goal,17,17
9,OT,,Bengals,Doug Pelfrey 26 yard field goal,20,17
