,Quarter,Time,Tm,Detail,TAM,CAR
0,1.0,,Buccaneers,Errict Rhett 1 yard rush (Michael Husted kick),7,0
1,2.0,,Panthers,Derrick Moore 53 yard rush (John Kasay kick),7,7
2,2.0,,Buccaneers,Michael Husted 25 yard field goal,10,7
3,2.0,,Buccaneers,Michael Husted 27 yard field goal,13,7
4,3.0,,Panthers,Pete Metzelaars 4 yard pass from Kerry Collins,13,13
5,4.0,14:57,Buccaneers,Casey Weldon 1 yard rush (Michael Husted kick),20,13
