,Quarter,Time,Tm,Detail,KAN,OAK
0,1.0,10:24,Raiders,Daniel Carlson 29 yard field goal,0,3
1,1.0,4:50,Raiders,Tyrell Williams 4 yard pass from Derek Carr (Daniel Carlson kick),0,10
2,2.0,15:00,Chiefs,Demarcus Robinson 44 yard pass from Patrick Mahomes (Harrison Butker kick),7,10
3,2.0,5:57,Chiefs,Mecole Hardman 42 yard pass from Patrick Mahomes (Harrison Butker kick),14,10
4,2.0,1:46,Chiefs,Travis Kelce 27 yard pass from Patrick Mahomes (Harrison Butker kick),21,10
5,2.0,0:47,Chiefs,Demarcus Robinson 39 yard pass from Patrick Mahomes (Harrison Butker kick),28,10
