,Quarter,Time,Tm,Detail,PHI,BAL
0,1.0,,Ravens,Michael Jackson 29 yard pass from Vinny Testaverde (Matt Stover kick),0,7
1,3.0,,Eagles,Chris Boniol 33 yard field goal,3,7
2,4.0,,Ravens,Matt Stover 23 yard field goal,3,10
3,4.0,,Eagles,Charlie Garner 2 yard rush (Chris Boniol kick),10,10
