,Quarter,Time,Tm,Detail,NYJ,DAL
0,1.0,11:41,Jets,John Hall 47 yard field goal,3,0
1,1.0,6:10,Jets,John Hall 33 yard field goal,6,0
2,2.0,12:44,Cowboys,Emmitt Smith 14 yard pass from Troy Aikman (Eddie Murray kick),6,7
3,2.0,7:42,Jets,Richie Anderson 1 yard pass from Ray Lucas (John Hall kick),13,7
4,2.0,4:16,Cowboys,Eric Bjornson 20 yard rush (Eddie Murray kick),13,14
5,3.0,11:18,Cowboys,Rocket Ismail 27 yard rush (Eddie Murray kick),13,21
6,3.0,8:16,Jets,Blake Spence 2 yard pass from Ray Lucas (run failed),19,21
7,4.0,1:35,Jets,John Hall 37 yard field goal,22,21
