,Quarter,Tm,Detail,PIT,SEA
0,1.0,Seahawks,Norm Johnson 35 yard field goal,0,3
1,2.0,Seahawks,Norm Johnson 48 yard field goal,0,6
2,2.0,Seahawks,Norm Johnson 29 yard field goal,0,9
3,3.0,Seahawks,Paul Johns 11 yard pass from Jim Zorn (Norm Johnson kick),0,16
