,Quarter,Time,Tm,Detail,NWE,MIN
0,1.0,,Vikings,Eddie Murray 24 yard field goal,0,3
1,1.0,,Vikings,Moe Williams 1 yard rush (Eddie Murray kick),0,10
2,2.0,,Patriots,Adam Vinatieri 22 yard field goal,3,10
3,2.0,,Vikings,Eddie Murray 23 yard field goal,3,13
4,3.0,,Vikings,Eddie Murray 41 yard field goal,3,16
5,4.0,,Patriots,Shawn Jefferson 5 yard pass from Drew Bledsoe,9,16
6,4.0,,Patriots,Adam Vinatieri 25 yard field goal,12,16
7,4.0,,Vikings,Cris Carter 28 yard pass from Brad Johnson (Eddie Murray kick),12,23
8,4.0,,Patriots,Terry Glenn 3 yard pass from Drew Bledsoe (pass failed),18,23
