,Quarter,Time,Tm,Detail,TAM,CLE
0,2.0,,Browns,Matt Stover 43 yard field goal,0,3
1,2.0,,Browns,Matt Stover 23 yard field goal,0,6
2,2.0,,Browns,Keenan McCardell 6 yard pass from Vinny Testaverde (pass failed),0,12
3,2.0,,Browns,Keenan McCardell 32 yard pass from Vinny Testaverde (Matt Stover kick),0,19
4,4.0,,Buccaneers,Errict Rhett 2 yard rush (run failed),6,19
5,4.0,,Browns,Matt Stover 20 yard field goal,6,22
