,Quarter,Time,Tm,Detail,BAL,JAX
0,2.0,10:16,Jaguars,Mike Hollis 28 yard field goal,0,3
1,2.0,0:10,Ravens,Matt Stover 23 yard field goal,3,3
2,3.0,1:52,Jaguars,Mike Hollis 28 yard field goal,3,6
