,Quarter,Tm,Detail,BUF,PIT
0,1,Steelers,Lynn Swann 20 yard pass from Terry Bradshaw (Matt Bahr kick),0,7
1,2,Steelers,Franco Harris 1 yard rush (Matt Bahr kick),0,14
2,3,Steelers,Sidney Thornton 8 yard rush (Matt Bahr kick),0,21
3,4,Steelers,Franco Harris 11 yard rush (Matt Bahr kick),0,28
