,Quarter,Tm,Detail,DAL,NYG
0,1.0,Giants,Zeke Mowatt 46 yard pass from Jeff Rutledge (Ali Haji-Sheikh kick),0,7
1,1.0,Cowboys,Tony Hill 21 yard pass from Danny White (Rafael Septien kick),7,7
2,2.0,Cowboys,Tony Dorsett 14 yard pass from Danny White (Rafael Septien kick),14,7
3,2.0,Cowboys,Rafael Septien 36 yard field goal,17,7
4,2.0,Giants,Rob Carpenter 15 yard pass from Jeff Rutledge (Ali Haji-Sheikh kick),17,14
5,3.0,Giants,Ali Haji-Sheikh 27 yard field goal,17,17
6,3.0,Cowboys,Doug Cosbie 61 yard pass from Danny White (Rafael Septien kick),24,17
7,3.0,Giants,Ali Haji-Sheikh 29 yard field goal,24,20
8,4.0,Cowboys,Drew Pearson 7 yard pass from Danny White (Rafael Septien kick),31,20
9,4.0,Cowboys,Tony Hill 58 yard pass from Danny White (Rafael Septien kick),38,20
