,Quarter,Tm,Detail,BKN,PIT
0,3.0,Dodgers,Ralph Kercheval 23 yard pass from Chris Cagle (Ralph Kercheval kick),7,0
1,3.0,Dodgers,Ralph Kercheval 22 yard field goal,10,0
