,Quarter,Time,Tm,Detail,ARI,KAN
0,1.0,1:27,Chiefs,Priest Holmes 5 yard rush (Morten Andersen kick),0,7
1,1.0,0:00,Chiefs,Dante Hall 90 yard punt return (Morten Andersen kick),0,14
2,2.0,5:19,Chiefs,Tony Richardson 3 yard rush (Morten Andersen kick),0,21
3,2.0,1:14,Chiefs,Priest Holmes 2 yard rush (Morten Andersen kick),0,28
4,2.0,0:07,Chiefs,Tony Gonzalez 23 yard pass from Trent Green (Morten Andersen kick),0,35
5,3.0,3:53,Chiefs,Marc Boerigter 1 yard pass from Trent Green (Morten Andersen kick),0,42
6,4.0,7:57,Chiefs,Marc Boerigter 29 yard pass from Todd Collins (Morten Andersen kick),0,49
