,Quarter,Tm,Detail,CHI,MIN
0,1.0,Red Jackets,Mally Nydall 60 yard rush,0,6
1,3.0,Bears,Buck White 2 yard rush,6,6
2,3.0,Bears,Bill Senn 26 yard rush,12,6
3,4.0,Bears,Laurie Walquist 2 yard rush (Joey Sternaman kick),19,6
