,Quarter,Tm,Detail,CIN,CLE
0,1,Bengals,Pete Johnson 11 yard rush (Chris Bahr kick),7,0
1,2,Browns,Oscar Roan 4 yard pass from Brian Sipe (Don Cockroft kick),7,7
2,3,Bengals,Chris Bahr 47 yard field goal,10,7
