,Quarter,Time,Tm,Detail,ARI,NYG
0,1.0,0:00,Giants,Tiki Barber 10 yard rush (Brad Daluiso kick),0,7
1,2.0,9:31,Giants,Tiki Barber 78 yard rush (Brad Daluiso kick),0,14
2,3.0,0:00,Cardinals,Cary Blanchard 32 yard field goal,3,14
3,4.0,7:28,Giants,Ron Dayne 7 yard rush (Brad Daluiso kick),3,21
4,4.0,1:55,Cardinals,David Boston 9 yard pass from Jake Plummer (Cary Blanchard kick),10,21
5,4.0,0:32,Cardinals,David Boston 25 yard pass from Jake Plummer (pass failed),16,21
