,Quarter,Tm,Detail,CRD,DET
0,1.0,Lions,Whizzer White 82 yard interception return (Augie Lio kick),0,7
1,1.0,Cardinals,Bill Daddio 24 yard field goal,3,7
2,3.0,Lions,Augie Lio 10 yard fumble return (Augie Lio kick),3,14
3,3.0,Lions,Bill Fisk 23 yard pass from Whizzer White (Augie Lio kick),3,21
