,Quarter,Time,Tm,Detail,DEN,SEA
0,1,10:33,Seahawks,Stephen Hauschka 20 yard field goal,0,3
1,1,3:27,Broncos,Brandon McManus 24 yard field goal,3,3
2,2,3:05,Seahawks,Ricardo Lockette 39 yard pass from Russell Wilson (Stephen Hauschka kick),3,10
3,2,0:12,Seahawks,Marshawn Lynch 5 yard pass from Russell Wilson (Stephen Hauschka kick),3,17
4,4,13:07,Broncos,"Safety, Marshawn Lynch tackled by Nate Irving and T.J. Ward in the end zone.",5,17
5,4,9:20,Broncos,Julius Thomas 3 yard pass from Peyton Manning (Brandon McManus kick),12,17
6,4,0:59,Seahawks,Stephen Hauschka 28 yard field goal,12,20
7,4,0:18,Broncos,Jacob Tamme 26 yard pass from Peyton Manning (Demaryius Thomas pass from Peyton Manning),20,20
8,OT,9:14,Seahawks,Marshawn Lynch 6 yard rush,20,26
