,Quarter,Tm,Detail,NWE,BUF
0,1.0,Bills,Reuben Gant 19 yard pass from Joe Ferguson (John Leypoldt kick),0,7
1,1.0,Bills,J.D. Hill 77 yard pass from Joe Ferguson (John Leypoldt kick),0,14
2,1.0,Patriots,Sam Cunningham 10 yard rush (John Smith kick),7,14
3,2.0,Patriots,Sam Cunningham 11 yard pass from Steve Grogan (John Smith kick),14,14
4,2.0,Bills,O.J. Simpson 2 yard rush (John Leypoldt kick),14,21
5,2.0,Bills,John Leypoldt 28 yard field goal,14,24
6,2.0,Patriots,Russ Francis 21 yard pass from Steve Grogan (John Smith kick),21,24
7,3.0,Patriots,Sam Cunningham 1 yard rush (John Smith kick),28,24
8,3.0,Bills,O.J. Simpson 3 yard pass from Joe Ferguson (John Leypoldt kick),28,31
9,4.0,Patriots,John Smith 34 yard field goal,31,31
10,4.0,Bills,O.J. Simpson 1 yard rush (John Leypoldt kick),31,38
11,4.0,Bills,O.J. Simpson 3 yard pass from Joe Ferguson (John Leypoldt kick),31,45
