,Quarter,Tm,Detail,GNB,CRD
0,1.0,Packers,Ted Fritsch 25 yard field goal,3,0
1,2.0,Packers,Ted Fritsch 1 yard rush (Ted Fritsch kick),10,0
2,2.0,Packers,Irv Comp 1 yard rush (Ted Fritsch kick),17,0
3,3.0,Cardinals,Frank Seno 27 yard pass from Paul Christman (Ward Cuff kick),17,7
4,4.0,Packers,"Safety, Christman tackled in end zone by Luhn",19,7
