,Quarter,Time,Tm,Detail,ARI,NYJ
0,1,6:38,Jets,John Hall 44 yard field goal,0,3
1,2,5:09,Cardinals,Michael Pittman 4 yard rush (Chris Jacke kick),7,3
2,3,3:07,Jets,John Hall 33 yard field goal,7,6
3,4,5:21,Jets,Keyshawn Johnson 43 yard pass from Rick Mirer (pass failed),7,12
