,Quarter,Time,Tm,Detail,SEA,GNB
0,1.0,9:54,Packers,Donald Driver 34 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,1.0,5:31,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),7,7
2,2.0,13:13,Packers,Ahman Green 1 yard rush (Ryan Longwell kick),7,14
3,2.0,5:28,Seahawks,Josh Brown 27 yard field goal,10,14
4,2.0,0:36,Packers,Ahman Green 3 yard rush (Ryan Longwell kick),10,21
5,2.0,0:00,Seahawks,Josh Brown 58 yard field goal,13,21
6,3.0,11:09,Packers,Tony Fisher 11 yard rush (Ryan Longwell kick),13,28
7,3.0,0:39,Packers,William Henderson 2 yard pass from Brett Favre (Ryan Longwell kick),13,35
