,Quarter,Tm,Detail,DAL,PHI
0,1.0,Cowboys,Dennis Thurman 38 yard interception return (Rafael Septien kick),7,0
1,2.0,Eagles,Paul McFadden 23 yard field goal,7,3
2,3.0,Cowboys,Ron Springs 57 yard pass from Danny White (Rafael Septien kick),14,3
3,3.0,Cowboys,"Safety, Dutton tackled Pisarcik in end zone",16,3
4,3.0,Cowboys,Timmy Newsome 8 yard rush (Rafael Septien kick),23,3
5,4.0,Eagles,Vyto Kab 2 yard pass from Joe Pisarcik (Paul McFadden kick),23,10
6,4.0,Cowboys,Rafael Septien 32 yard field goal,26,10
