,Quarter,Tm,Detail,MIN,TAM
0,1.0,Buccaneers,Ricky Bell 2 yard rush,0,6
1,2.0,Buccaneers,Neil O'Donoghue 20 yard field goal,0,9
2,2.0,Vikings,Terry LeCount 21 yard pass from Tommy Kramer (Rick Danmeier kick),7,9
3,2.0,Vikings,Ahmad Rashad 32 yard pass from Tommy Kramer (Rick Danmeier kick),14,9
4,3.0,Vikings,Rick Danmeier 44 yard field goal,17,9
5,3.0,Buccaneers,Johnny Davis 17 yard rush (Neil O'Donoghue kick),17,16
6,3.0,Vikings,Rickey Young 3 yard pass from Tommy Kramer,23,16
7,4.0,Buccaneers,Doug Williams 13 yard rush,23,22
