,Quarter,Tm,Detail,CHI,BAL
0,1.0,Colts,Alvin Haymond 52 yard interception return (Lou Michaels kick),0,7
1,2.0,Bears,Mike Ditka 20 yard pass from Rudy Bukich (Roger LeClerc kick),7,7
2,2.0,Colts,Tony Lorick 2 yard rush (Lou Michaels kick),7,14
3,3.0,Bears,Roger LeClerc 21 yard field goal,10,14
4,4.0,Bears,Roger LeClerc 32 yard field goal,13,14
5,4.0,Bears,Roger LeClerc 20 yard field goal,16,14
6,4.0,Colts,Raymond Berry 23 yard pass from Johnny Unitas (Lou Michaels kick),16,21
