,Quarter,Tm,Detail,CHI,PHI
0,1.0,Bears,Bill Hewitt 25 yard pass from Carl Brumbaugh (Joe Stydahar kick),7,0
1,3.0,Bears,Bill Hewitt 16 yard pass from Ray Nolting (Jack Manders kick),14,0
2,3.0,Bears,Jack Manders 26 yard field goal,17,0
