,Quarter,Tm,Detail,DAL,ATL
0,1.0,Cowboys,Michael Irvin 65 yard pass from Troy Aikman (Roger Ruzek kick),7,0
1,1.0,Falcons,Bobby Butler 29 yard defensive fumble return (Paul McFadden kick),7,7
2,1.0,Cowboys,Herschel Walker 4 yard rush (Roger Ruzek kick),14,7
3,2.0,Falcons,Paul McFadden 28 yard field goal,14,10
4,2.0,Cowboys,Herschel Walker 20 yard rush (Roger Ruzek kick),21,10
5,3.0,Falcons,Paul McFadden 38 yard field goal,21,13
6,3.0,Falcons,Kenny Flowers 1 yard rush (Paul McFadden kick),21,20
7,4.0,Falcons,John Settle 4 yard rush (Paul McFadden kick),21,27
