,Quarter,Tm,Detail,SFO,RAM
0,1.0,Rams,Bernie Casey 41 yard pass from Roman Gabriel (Bruce Gossett kick),0,7
1,2.0,Rams,Roman Gabriel 1 yard rush (Bruce Gossett kick),0,14
2,2.0,49ers,Clifton McNeil 6 yard pass from John Brodie (Tommy Davis kick),7,14
3,3.0,49ers,Tommy Davis 7 yard field goal,10,14
4,3.0,Rams,Henry Dyer 1 yard rush (Bruce Gossett kick),10,21
5,4.0,Rams,Bruce Gossett 19 yard field goal,10,24
