,Quarter,Tm,Detail,BAL,CLE
0,2.0,Colts,Lou Michaels 28 yard field goal,3,0
1,2.0,Colts,Tom Matte 1 yard rush (Lou Michaels kick),10,0
2,2.0,Colts,Tom Matte 12 yard rush (Lou Michaels kick),17,0
3,3.0,Colts,Tom Matte 2 yard rush (Lou Michaels kick),24,0
4,4.0,Colts,Lou Michaels 10 yard field goal,27,0
5,4.0,Colts,Timmy Brown 4 yard rush (Lou Michaels kick),34,0
