,Quarter,Time,Tm,Detail,WAS,CIN
0,1.0,10:30,Bengals,Ryan Fitzpatrick 1 yard rush (Shayne Graham kick),0,7
1,1.0,3:10,Bengals,Chris Henry 12 yard pass from Ryan Fitzpatrick (Shayne Graham kick),0,14
2,2.0,11:19,Bengals,Shayne Graham 32 yard field goal,0,17
3,2.0,4:44,Redskins,Santana Moss 10 yard pass from Jason Campbell (Shaun Suisham kick),7,17
4,2.0,0:15,Redskins,Shaun Suisham 23 yard field goal,10,17
5,4.0,2:20,Bengals,Shayne Graham 45 yard field goal,10,20
6,4.0,1:43,Redskins,Shaun Suisham 36 yard field goal,13,20
