,Quarter,Tm,Detail,NYG,BOS
0,1.0,Giants,Harry Newman 93 yard kickoff return (Harry Newman kick),7,0
1,1.0,Giants,Harry Newman 30 yard field goal,10,0
2,3.0,Redskins,Hal McPhail 55 yard fumble return (Hal McPhail kick),10,7
3,3.0,Redskins,Doug Wycoff unknown yard rush,10,13
4,4.0,Giants,Harry Newman 26 yard field goal,13,13
5,4.0,Giants,Harry Newman 20 yard field goal,16,13
