,Quarter,Tm,Detail,KAN,SEA
0,1.0,Chiefs,Barry Word 44 yard rush (Nick Lowery kick),7,0
1,1.0,Chiefs,Nick Lowery 20 yard field goal,10,0
2,2.0,Seahawks,Tommy Kane 25 yard pass from Kelly Stouffer (John Kasay kick),10,7
3,2.0,Chiefs,Dale Carter 86 yard punt return (Nick Lowery kick),17,7
4,3.0,Chiefs,Neil Smith 22 yard interception return (Nick Lowery kick),24,7
5,3.0,Seahawks,Chris Warren 6 yard rush (John Kasay kick),24,14
