,Quarter,Tm,Detail,CHI,CLE
0,1.0,Bulldogs,Doc Elliott 20 yard field goal,0,3
1,1.0,Bears,Joey Sternaman unknown yard pass from Laurie Walquist (Joey Sternaman kick),7,3
2,3.0,Bulldogs,Ben Jones unknown yard rush (Olin Smith kick),7,10
3,3.0,Bulldogs,Olin Smith blocked punt recovery in end zone,7,16
4,4.0,Bears,Joey Sternaman 70 yard punt return (Joey Sternaman kick),14,16
