,Quarter,Tm,Detail,BUF,RCH
0,1.0,Bisons,Benny Boynton unknown yard field goal,3,0
1,1.0,Bisons,Benny Boynton unknown yard pass from Eddie Kaw,9,0
2,3.0,Bisons,Eddie Kaw unknown yard pass from Benny Boynton (Benny Boynton kick),16,0
