,Quarter,Tm,Detail,SFO,PIT
0,1.0,Steelers,Delton Hall 50 yard defensive fumble return (Gary Anderson kick),0,7
1,2.0,49ers,Ray Wersching 43 yard field goal,3,7
2,2.0,Steelers,Preston Gothard 2 yard pass from Mark Malone (Gary Anderson kick),3,14
3,2.0,Steelers,Gary Anderson 50 yard field goal,3,17
4,3.0,Steelers,Gary Anderson 41 yard field goal,3,20
5,3.0,49ers,John Frank 1 yard pass from Joe Montana (Ray Wersching kick),10,20
6,4.0,Steelers,Gary Anderson 44 yard field goal,10,23
7,4.0,Steelers,Walter Abercrombie 28 yard rush (Gary Anderson kick),10,30
8,4.0,49ers,Jerry Rice 3 yard pass from Joe Montana (Ray Wersching kick),17,30
