,Quarter,Tm,Detail,BUF,CIN
0,1.0,Bengals,Lenvil Elliott 5 yard pass from Ken Anderson,0,6
1,1.0,Bills,John Leypoldt 28 yard field goal,3,6
2,2.0,Bengals,Stan Fritts 1 yard rush (Dave Green kick),3,13
3,2.0,Bills,O.J. Simpson 2 yard rush (John Leypoldt kick),10,13
4,2.0,Bengals,Charlie Joiner 20 yard pass from Ken Anderson (Dave Green kick),10,20
5,3.0,Bills,O.J. Simpson 1 yard rush (John Leypoldt kick),17,20
6,3.0,Bengals,Dave Green 28 yard field goal,17,23
7,4.0,Bengals,Stan Fritts 1 yard rush (Dave Green kick),17,30
8,4.0,Bills,J.D. Hill 10 yard pass from Joe Ferguson (John Leypoldt kick),24,30
9,4.0,Bengals,Dave Green 18 yard field goal,24,33
