,Quarter,Tm,Detail,DEN,SEA
0,1.0,Seahawks,Norm Johnson 22 yard field goal,0,3
1,1.0,Broncos,"Safety, Boyd tackled T. Brown in end zone",2,3
2,3.0,Broncos,Mark Herrmann 6 yard rush (Rich Karlis kick),9,3
3,4.0,Seahawks,Norm Johnson 34 yard field goal,9,6
4,4.0,Broncos,"Safety, Chavous tackled Krieg in end zone",11,6
5,4.0,Seahawks,Roger Carr 19 yard pass from Dave Krieg (Norm Johnson kick),11,13
