,Quarter,Tm,Detail,BUF,NWE
0,1,Patriots,Carl Woods 4 yard rush (Tony Franklin kick),0,7
1,3,Patriots,Bob Bleier 1 yard rush (Tony Franklin kick),0,14
2,4,Bills,Thad McFadden 13 yard pass from Willie Totten (Todd Schlopy kick),7,14
