,Quarter,Tm,Detail,PHI,MIA
0,1.0,Eagles,Wilbert Montgomery 1 yard rush (Tony Franklin kick),7,0
1,2.0,Dolphins,Uwe von Schamann 42 yard field goal,7,3
2,3.0,Eagles,Tony Franklin 42 yard field goal,10,3
3,4.0,Dolphins,Duriel Harris 17 yard pass from Don Strock (Uwe von Schamann kick),10,10
4,4.0,Dolphins,Uwe von Schamann 27 yard field goal,10,13
