,Quarter,Time,Tm,Detail,WAS,CHI
0,1.0,5:41,Redskins,Ola Kimrin 41 yard field goal,3,0
1,2.0,14:53,Redskins,Rod Gardner 18 yard pass from Mark Brunell (Ola Kimrin kick),10,0
2,2.0,5:36,Bears,Jerry Azumah 70 yard interception return (Paul Edinger kick),10,7
3,4.0,11:13,Redskins,Ola Kimrin 26 yard field goal,13,7
4,4.0,5:10,Bears,Paul Edinger 46 yard field goal,13,10
