,Quarter,Time,Tm,Detail,KAN,CHI
0,2.0,10:23,Bears,John St. Clair 2 yard pass from Rex Grossman (Robbie Gould kick),0,7
1,2.0,9:15,Bears,Devin Hester 73 yard punt return (Robbie Gould kick),0,14
2,2.0,2:25,Bears,Robbie Gould 47 yard field goal,0,17
3,2.0,1:17,Chiefs,Dwayne Bowe 16 yard pass from Damon Huard (Dave Rayner kick),7,17
4,3.0,8:31,Bears,Robbie Gould 38 yard field goal,7,20
5,3.0,3:07,Chiefs,Dave Rayner 45 yard field goal,10,20
