,Quarter,Tm,Detail,HOU,KAN
0,1.0,Oilers,Roy Gerela 38 yard field goal,3,0
1,1.0,Chiefs,Ed Podolak 8 yard rush (Jan Stenerud kick),3,7
2,2.0,Oilers,Roy Gerela 18 yard field goal,6,7
3,2.0,Chiefs,Wendell Hayes 1 yard rush (Jan Stenerud kick),6,14
4,3.0,Oilers,Roy Gerela 48 yard field goal,9,14
5,4.0,Chiefs,Bobby Bell 45 yard interception return (Jan Stenerud kick),9,21
6,4.0,Chiefs,Jan Stenerud 39 yard field goal,9,24
