,Quarter,Tm,Detail,WAS,MIN
0,1.0,Vikings,Terry Allen 1 yard rush (Fuad Reveiz kick),0,7
1,1.0,Redskins,Chip Lohmiller 44 yard field goal,3,7
2,2.0,Redskins,Earnest Byner 3 yard rush (Chip Lohmiller kick),10,7
3,2.0,Redskins,Brian Mitchell 8 yard rush (Chip Lohmiller kick),17,7
4,3.0,Redskins,Gary Clark 24 yard pass from Mark Rypien (Chip Lohmiller kick),24,7
