,Quarter,Tm,Detail,NOR,BUF
0,1.0,Saints,John Tice 12 yard pass from John Fourcade,6,0
1,1.0,Saints,Dalton Hilliard 54 yard pass from John Fourcade (Morten Andersen kick),13,0
2,2.0,Bills,James Lofton 42 yard pass from Jim Kelly,13,6
3,2.0,Saints,Morten Andersen 31 yard field goal,16,6
4,2.0,Bills,Scott Norwood 43 yard field goal,16,9
5,2.0,Bills,Scott Norwood 48 yard field goal,16,12
6,3.0,Bills,Pete Metzelaars 2 yard pass from Jim Kelly (Scott Norwood kick),16,19
7,3.0,Saints,Morten Andersen 26 yard field goal,19,19
8,4.0,Saints,Morten Andersen 22 yard field goal,22,19
