,Quarter,Time,Tm,Detail,NWE,NYJ
0,2.0,13:17,Patriots,Wes Welker 6 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
1,2.0,6:22,Jets,Braylon Edwards 10 yard pass from Mark Sanchez (Nick Folk kick),7,7
2,2.0,0:53,Patriots,Randy Moss 34 yard pass from Tom Brady (Stephen Gostkowski kick),14,7
3,2.0,0:00,Jets,Nick Folk 49 yard field goal,14,10
4,3.0,4:53,Jets,Nick Folk 36 yard field goal,14,13
5,3.0,0:38,Jets,Jerricho Cotchery 2 yard pass from Mark Sanchez (Braylon Edwards pass from Mark Sanchez),14,21
6,4.0,6:09,Jets,Dustin Keller 1 yard pass from Mark Sanchez (Nick Folk kick),14,28
