,Quarter,Tm,Detail,PHI,CRD
0,1.0,Cardinals,Les Goble 92 yard kickoff return (Pat Summerall kick),0,7
1,1.0,Cardinals,Lamar McHan 1 yard rush,0,13
2,1.0,Cardinals,Pat Summerall 35 yard field goal,0,16
3,1.0,Eagles,Bobby Walston 12 yard pass from Adrian Burk (Bobby Walston kick),7,16
4,2.0,Eagles,Jerry Williams 80 yard pass from Adrian Burk (Bobby Walston kick),14,16
5,2.0,Eagles,Bobby Walston 35 yard pass from Adrian Burk (Bobby Walston kick),21,16
6,3.0,Eagles,Bobby Walston 34 yard pass from Bobby Thomason (Bobby Walston kick),28,16
7,3.0,Eagles,Dom Moselle 35 yard pass from Bobby Thomason (Bobby Walston kick),35,16
