,Quarter,Time,Tm,Detail,CLE,HOU
0,1.0,8:12,Texans,Ka'imi Fairbairn 35 yard field goal,0,3
1,1.0,0:38,Texans,Jordan Thomas 11 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),0,10
2,2.0,7:26,Texans,Zach Cunningham 38 yard interception return (Ka'imi Fairbairn kick),0,17
3,2.0,3:19,Texans,Ka'imi Fairbairn 42 yard field goal,0,20
4,2.0,0:01,Texans,Ka'imi Fairbairn 48 yard field goal,0,23
5,3.0,9:39,Browns,Nick Chubb 2 yard rush (Greg Joseph kick),7,23
6,3.0,5:26,Texans,Ka'imi Fairbairn 53 yard field goal,7,26
7,4.0,5:46,Texans,Ka'imi Fairbairn 38 yard field goal,7,29
8,4.0,2:58,Browns,Rashard Higgins 17 yard pass from Baker Mayfield (pass failed),13,29
