,Quarter,Time,Tm,Detail,IND,BUF
0,1.0,,Colts,Mike Vanderjagt 27 yard field goal,3,0
1,2.0,,Bills,Sam Gash 1 yard pass from Doug Flutie (Steve Christie kick),3,7
2,2.0,,Bills,Antowain Smith 4 yard rush (Steve Christie kick),3,14
3,2.0,1:19,Bills,Andre Reed 67 yard pass from Doug Flutie (Steve Christie kick),3,21
4,2.0,0:06,Bills,Steve Christie 35 yard field goal,3,24
5,3.0,0:06,Bills,Steve Christie 24 yard field goal,3,27
6,4.0,0:06,Bills,Antowain Smith 5 yard rush (Steve Christie kick),3,34
7,4.0,0:06,Colts,Marvin Harrison 30 yard pass from Peyton Manning (Marvin Harrison pass from Peyton Manning),11,34
