,Quarter,Tm,Detail,PIT,CLE
0,1.0,Steelers,John Stallworth 3 yard pass from Terry Bradshaw (Roy Gerela kick),7,0
1,2.0,Steelers,Franco Harris 1 yard rush (Roy Gerela kick),14,0
2,2.0,Steelers,Mike Collier 1 yard rush (Roy Gerela kick),21,0
3,2.0,Steelers,Lynn Swann 43 yard pass from Joe Gilliam (Roy Gerela kick),28,0
4,4.0,Browns,Hugh McKinnis 7 yard rush,28,6
5,4.0,Steelers,Reggie Garrett 45 yard pass from Joe Gilliam (Roy Gerela kick),35,6
6,4.0,Steelers,Reggie Harrison 3 yard rush (Roy Gerela kick),42,6
