,Quarter,Tm,Detail,TAM,SFO
0,1.0,49ers,Freddie Solomon 53 yard punt return (Ray Wersching kick),0,7
1,1.0,Buccaneers,Jerry Eckwood 2 yard rush (Garo Yepremian kick),7,7
2,2.0,49ers,Ray Wersching 38 yard field goal,7,10
3,2.0,49ers,Ray Wersching 40 yard field goal,7,13
4,3.0,Buccaneers,Jerry Eckwood 35 yard rush (Garo Yepremian kick),14,13
5,3.0,49ers,Lenvil Elliott 45 yard pass from Joe Montana (Ray Wersching kick),14,20
6,3.0,Buccaneers,Doug Williams 2 yard rush (Garo Yepremian kick),21,20
7,4.0,49ers,Ray Wersching 18 yard field goal,21,23
8,4.0,Buccaneers,Garo Yepremian 30 yard field goal,24,23
